family,order,occurrence_count,individual_count
Acroreiidae,Siphonariida,1,1
Acrosaleniidae,Salenioida,676,1097
Acrosmiliidae,Scleractinia,988,135
Acrospermaceae,Acrospermales,3200,2066
Acrossotidae,Malacalcyonacea,53,2
Acrostichopteridaceae,Schizaeales,99,39
Acrosymphytaceae,Acrosymphytales,1216,53
Acrothelidae,Lingulida,1200,773
Acrothesauraceae,Acrosymphytales,2,
Acrotylaceae,Gigartinales,838,25967
Actaletidae,Entomobryomorpha,66,65
Acteonemertidae,Monostilifera,293,95
Acteonidae,Cephalaspidea,20583,30712
Actinacididae,Scleractinia,774,290
Actinastreidae,Scleractinia,895,288
Actinernidae,Actiniaria,318,243
Actinidiaceae,Ericales,85007,24046
Actiniidae,Actiniaria,186178,76561
Actiniscaceae,Actiniscales,627,3350970
Actinobolinidae,Spathidiida,5,
Actinocephalidae,Eugregarinorida,515,11
Actinochloridaceae,Chlamydomonadales,686,
Actinocyclidae,Nudibranchia,19583,264189
Actinodendridae,Actiniaria,938,59
Actinodiscidae,Corallimorpharia,2,
Actinodontidae,Actinodontida,78,6
Actinolaimidae,Dorylaimida,619,255
Actinomarinaceae,Actinomarinales,766,
Actinommidae,Spumellaria,33744,58993
Actinomycetaceae,Actinomycetales,12640,20
Actinophryidae,Actinophryida,68,15
Actinopodidae,Araneae,5567,1994
Actinopolymorphaceae,Propionibacteriales,3218,3329
Actinopolysporaceae,Actinomycetales,198,
Actinoporidae,Cyclostomatida,290,155
Actinoposthiidae,Acoela,155,69
Actinoscyphiidae,Actiniaria,429,128
Actinosphaeriidae,Actinophryida,33,6
Actinospicaceae,Actinomycetales,3593,472
Actinostolidae,Actiniaria,9269,8477
Actinostromarianinidae,Axinellida,9,
Actinostromariidae,Axinellida,110,10
Actinosynnemataceae,Actinomycetales,31,
Actinotrypidae,Cystoporida,35,26
Actisecidae,Cheilostomatida,43,9
Acuariidae,Rhabditida,2679,2731
Aculeorhynchidae,Rhabdocoela,1,
Acupeinidae,Lituolida,8,23
Acutalibacteraceae,Oscillospirales,1631,
Acutichitonidae,Lepidopleurida,73,21
Acutidae,Eugregarinida,398,2
Acytosteliaceae,Acytosteliales,431,
Adamystidae,Trombidiformes,56,29
Adapidae,Primates,1018,277
